Línea	Id propuesta	Propuesta	Tipo elemento	Id elemento	Relación	Valor	Claim?	"Claim+premise?
WHY?"	Relacionado con aspecto?	Validación premisa(s)	Coherencia lógica p->c	Consistencia p1 <> p2	Persuasión	Apelación emocioal/ética (pathos/ethos)	
410	507		Aspecto	Mejora de Infraestructuras		La necesidad de mejorar las infraestructuras en el sur de Madrid									
411	507		Argumento	305	A favor	Una gran propuesta. A ver si el actual equipo de gobierno hace algo con contundencia con los barrios marginados del sur.	0								
412	507		Argumento	306	En contra	Basta de propuestas como la de la Operación Chamartín, cuando en el sur hay desastres como las vías del tren, la M40 y otras carreteras que dividen y destrozan barrios y nadie ha dicho ni pío porque no hay intereses creados. Que se solucione primero el sur de Madrid antes de volver a dejar precioso el norte a costa de machacar a los de siempre.	1	1	1	1	0	2	2	2	
413	507		Aspecto	Inversión en Ocio y Cultura		Fomento de espacios culturales y de ocio como alternativa a la construcción de oficinas									
414	507		Argumento	307	A favor	Para que este barrio impulse la inversión hay que fomentar lugares de ocio educativo, teatros, cines, museos, eso si sería una buena inversión porque tenemos espacio para aparcar sin atascos, es una zona amplia y podemos llegar a hacer un barrio que promueva la cultura, y a su vez el consumo en restaurantes, terrazas, hacer incluso alguna terraza mirador en el parque la Gavia.	1	1	1	1	2	2	1	1	
415	507		Aspecto	Accesibilidad y Transporte Público		Mejora del transporte público como medio para reducir el tráfico y la contaminación									
416	507		Argumento	308	A favor	Si además les permites desplazarse en transporte público con una gran oferta de líneas de autobús, metro, cercanías, etc., el tráfico mejoraría en la zona sur y en todo Madrid.	1	1	1	1	2	1	1	1	
417	507		Aspecto	Equidad en la Distribución de Servicios		Distribución equitativa de servicios y recursos entre el norte y el sur de Madrid									
418	507		Argumento	309	A favor	Es hora de que el ayuntamiento garantice el cumplimiento de este derecho fundamental cuando las personas no son capaces por falta de recursos. Al igual que estamos reclamando la remunicipalización de determinados servicios públicos, demandamos también la remunicipalización de un derecho básico como es el comer que muchas personas en nuestra ciudad no pueden ejercer por falta de medios económicos.	1	1	0	1	2	1	2	2	
419	615	Multar a ciclistas que incumplan las normas de circulación													
420	615	Creo que debemos defender el transporte público y en bicicleta, pero estoy realmente harto del gran número de ciclistas que consideran que los ceda el paso y los semáforos no son para ellos.													
421	615		Aspecto	Cumplimiento de normas		La necesidad de que ciclistas cumplan las normas de circulación como cualquier otro usuario de la vía.									
422	615		Argumento	310	A favor	Estoy de acuerdo, pero no son sólo los ciclistas quienes incumplen las normas.	1	0	1						
423	615		Argumento	311	A favor	Estoy de acuerdo contigo en que los ciclistas deben cumplir las normas.	1	0	1						
424	615		Argumento	312	A favor	No se trata de meterse con los ciclistas se trata de que cumplan las mismas normas que el resto.	1	1	1	1	0	1	1	1	
425	615		Argumento	313	A favor	Igual que los ciclistas exigen y con razón que se les respete ellos deben respetar las normas de circulación.	1	1	1	2	1	1	1	2	
426	615		Argumento	314	A favor	Antes de pedir derechos deben cumplir con sus deberes.	1	0	1						
427	615		Argumento	315	En contra	Pienso sin embargo que las multas serían más efectivas por numerosas que por ejemplares.	1	0	0						
428	615		Argumento	316	En contra	El tema es que pocos conductores conocen las normas de circulación con respecto a las bicicletas.	1	0	0						
429	615		Argumento	317	En contra	Primero, usa las minúsculas. Segundo, tu propuesta no tiene sentido porque sí se multa a los ciclistas que se saltan las normas de circulación.	1	0	1						
430	615		Argumento	318	En contra	Qué manía con perseguir a los ciclistas.	-1								
431	615		Argumento	319	En contra	No es que defienda que el ciclista no cumpla sus deberes, pero creo que es ridículo centrarnos en sus deberes cuando apenas hemos avanzado mínimamente en cuanto a sus derechos.	0								
432	615		Aspecto	Seguridad vial		La importancia de la seguridad vial y el respeto mutuo entre ciclistas, peatones y conductores de vehículos.									
433	615		Argumento	320	A favor	Si el ciclista va por la derecha muchos vehículos tratarán de adelantarlos sin tener en cuenta esta distancia.	1	0	1						
434	615		Argumento	321	A favor	Estoy de acuerdo en que los conductores muchas veces son somos irrespetuosos con las bicicletas.	1	0	1						
435	615		Argumento	322	A favor	Concienciarnos de que las aceras son un espacio urbano reservado al peatón es un requisito necesario para tener una ciudad habitable.	1	0	1						
436	615		Argumento	323	A favor	Ir en bicicleta está muy bien y se debería promocionar pero hay que obligarles a comportarse como cualquier vehículo.	1	1	1	1	0	2	1	1	
437	615		Argumento	324	En contra	Andar en bicicleta en Madrid, en las condiciones actuales, provoca accidentes de por sí.	1	0	1						
438	615		Aspecto	Equidad en sanciones		La necesidad de aplicar sanciones equitativas a todos los usuarios de la vía, incluyendo ciclistas.									
439	615		Argumento	325	A favor	Multa nos a los peatones que se saltan un semáforo rojo? si Multamos toda la actitud incivica que pueda ocasionar graves daños al resto de los ciudadanos.	0								
440	615		Argumento	326	A favor	Efectivamente, pero para los que van en coche hay impuestos y multas.	1	0	1						
441	615		Argumento	327	A favor	El que lleven una bicicleta no dá derecho a saltarse todas las normas.	1	0	1						
442	615		Argumento	328	A favor	Ya intenté eso de calles tranquilas, ir por el medio del carril etc., pero me ha pasado de todo.	0								
443	615		Argumento	329	A favor	Completamente en contra. 1 Esta propuesta ya está implementado en la normativa 2 Como cualquier otra sanción, será injusta siempre que no sea proporcional a la renta del infractor.	1	0	0						
444	615		Argumento	330	En contra	Por que dices que la gente que monta en bicicleta tiene menos recursos económicos? Por que la bicicleta cuesta menos?	0								
445	615		Argumento	331	En contra	Claro, multemos a las bicicletas que luchas por circular en una ciudad hostil para ellas, en vez de a los coches que incumpliendo la distancia mínima arriesgan la vida de los ciclistas.	0								
446	615		Argumento	332	En contra	No veo por qué los conductores de vehículos han de pasar examen y los ciclistas no.	1	0	0						
447	615		Argumento	333	En contra	Anda que no hay conductores que no utilizan el intermitente, y se saltan semáfotos, ceda el paso,.	1	0	0						
448	615		Argumento	334	En contra	A los ciclistas ya se les multa cuando incumplen las normas de tráfico por lo que esta propuesta carece de sentido.	1	1	1	2	2	2	1	1	
449	615		Aspecto	Conciencia y educación vial		La importancia de fomentar la conciencia y educación vial entre todos los usuarios de la vía.									
450	615		Argumento	335	A favor	Difundir que cualquier usuario de la vía ha de cumplir las normas, conocidas por todos aún no teniendo carnet de conducir el que quiera es absurdo.	1	0	1						
451	615		Argumento	336	A favor	"Es cierto que el ciclista tiene otra agilidad, como el motorista; pero las normas son standard y las tenemos que cumplir todos."	1	1	1	1	0	1	1	1	
452	615		Argumento	337	A favor	También se les multa.	1	0	0						
453	615		Argumento	338	A favor	Ni que todos todos los ciclistas fuéramos por la acera echando a los peatones a las calzadas.	1	0	1						
454	615		Argumento	339	A favor	No sé por qué hay tantas quejas en los comentarios. Se trata simplemente del hecho bastante evidente de que hay muchos, muchísimos ciclistas que no respetan las normas de circulación.	1	0	1						
455	615		Argumento	340	En contra	Porque lo hacemos todos y sabemos que no es para tanto. Una persona a bicicleta está mucho más cercana a un peatón que a un coche.	1	1	1	1	0	1	1	1	
456	615		Argumento	341	En contra	Otra cosa es que no les multen cuando no les ven, pero en eso son similares a cualquier peatón que cruza por medio de la calle sin paso de cebra o a cualquier vehículo que hace pirulas o no respeta el límite de 50 en ciudad o de 30 en los carriles marcados a dicha velocidad.	1	1	1	1	1	2	2	1	
457	615		Argumento	342	En contra	Algunos se creen que Madrid es Copenhague o Amsterdam. Algunos vivimos a muchos kilómetros del curro y problemas para ir en bicicleta, parece que habéis descubierto América!.	1	1	1	1	1	1	2	1	
458	615		Argumento	343	En contra	Son bastantes los usuarios de bicicletas y más aún aquellos que por turismo vienen a nuestra Ciudad de Madrid, los que incumplen las normas de tráfico a las que deben cumplir por utilizar este medio de transporte.	1	0	1						
459	615		Argumento	344	En contra	Pues mire usted, mi comentario es en base a los frenazos que he tenido que dar para no atropellar ciclistas en cruces, así que no tengo ningúna falta de ocurrencias.	0								
460	615		Aspecto	Responsabilidad compartida		La necesidad de reconocer la responsabilidad compartida entre ciclistas, conductores y peatones en la seguridad vial.									
461	615		Argumento	345	A favor	Creo que tanto peatones, ciclistas, conductores de coches y motos debemos cumplir las normas.	1	0	1						
462	615		Argumento	346	A favor	conductores, también. Que los hay malos y buenos en todas partes, también, pero eso no justifica, repito, no justifica que las cosas se hagan mal por ningúna de las dos partes.	1	0	1						
463	615		Argumento	347	A favor	Como conductor, todos los días veo cómo docenas de automóviles se saltan las normas de tráfico, especialmente los semáforos y los límites de velocidad 50km/h en ciudad! y no por ello se proponen	1	0	1						
464	615		Argumento	348	En contra	Estoy cansada de encontrarme con ciclistas que, en vez de ir por su carril bicicleta y en Sanchinarro existe y está bien diferenciado del carril se emperran en ir por la calzada.	1	1	1	2	1	1	1	1	
465	615		Argumento	349	En contra	Mira majo, mirate las ordenanzas municipales y veras que esta prohibido circular los ciclistas por las aceras.	1	0	1						
466	615		Argumento	350	En contra	Estupendo que se multe ya está bien los peatones tenemos derecho a circular por las aceras sin estar pendiente a los ciclistas.	1	0	1						
467	615		Argumento	351	En contra	Los ciclistas por las aceras son un peligro total para el peatón, y, además cuando se lo adviertes, te suelen increpar.	1	1	1	1	1	1	1	2	
468	629	Sancionar a la gente que deposite basuras en la calle													
469	629	Mayor vigilancia en las calles, para sancionar a la gente que arroja basuras, excrementos de perros, deposita mobiliario.													
470	629		Aspecto	Efectividad de las sanciones		Discusión sobre si las sanciones son un método eficaz para reducir el depósito de basuras en la calle.									
471	629		Argumento	352	A favor	solo entendemos cuando se nos sanciona	1	0	1						
472	629		Argumento	353	A favor	la gente que deja basura, mierdas de perro y mea en la calle solo entiende la sanción como único método disuasorio de su conducta.	1	0	1						
473	629		Argumento	354	A favor	Hay que insistir y echar la bronca. Y si el sujeto en cuestión se pone violento, se llama a la policia.	1	0	1						
474	629		Argumento	355	A favor	Hay que ser vago, y gentuza para no poder coger las dos cosas que uses en cada comida y tirarla a la papelera que hay a 10 pasos. Una buena multa es lo que hace falta.	1	1	1	1	1	1	1	2	
475	629		Argumento	356	En contra	yo no impondría sancionas económicas, impondría charlas y seminarios trabajos sociales limpiando jardines, plazas.	1	0	1						
476	629		Argumento	357	En contra	En lugar de sancionar, ¿Por qué no mejorar el servicio de recogida de muebles?	0								
477	629		Argumento	358	En contra	Debería sancionar a la gente que ensucia la ciudad, pero creo que mejor que multas serían trabajos sociales limpiando la ciudad, es una mejor forma de concienciar.	1	1	1	1	1	2	1	2	
478	629		Aspecto	Responsabilidad ciudadana		Debatir sobre la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.									
479	629		Argumento	359	A favor	No debemos acobardarnos si vemos como un vecino ensucia la calle con porquerías: Desde un chicle a una nevera pasando por bolsas de ropa y excrementos de perro.	1	0	1						
480	629		Argumento	360	En contra	Los servicios municipales la recogen. ¡pero no es su misión! ¡Esa basura no debería estar ahí! ¡Son los vecinos, insolidarios y sucios, que se dedican a tirar sus deshechos en cualquier parte!	1	1	1	1	2	1	2	2	
481	629		Argumento	361	En contra	Creo que es muy difícil perseguir a las personas que ensucian la ciudad. Deberíamos ser los propios ciudadanos, los que recrimináramos estos comportamientos a los que ensucian.	1	0	1						
482	629		Aspecto	Impacto social y comunitario		Discusión sobre el impacto de la basura en las calles en la sociedad y las comunidades locales.									
483	629		Argumento	362	A favor	Es un problema que afecta a todos los barrios.	1	0	1						
484	629		Argumento	363	A favor	Da pena ir por un parque y ver todo lleno de basura. Entre semana incluso, lleno de latas, envoltorios de sándwiches, papeles, botellas, de todo.	1	1	1	2	1	2	1	2	
485	629		Argumento	364	En contra	Votado. Por favor, apoyad mi iniciativa sobre limpieza en la ciudad. Entre todos nos háremos oir.	0								
486	629		Argumento	365	En contra	Hay una propuesta muy buena para acabar con las cacas de los perros en la calle. Por favor votadla y dadle difusión.	1	0	0						
487	629		Aspecto	Concienciación y educación		Discusión sobre la importancia de la concienciación y la educación para prevenir el depósito de basuras en la calle.									
488	629		Argumento	366	A favor	Colillas, cáscaras de pipas, envoltorios. Hace falta una campaña de concienciación al ciudadano de que la limpieza en Madrid es cosa de todos.	1	1	1	1	1	1	1	2	
489	629		Argumento	367	A favor	Haría falta un análisis Dafo para determinar cuál es el verdadero problema, trabajar con un equipo multidisciplinar, ya que es muy necesario tanto para la tarea de acompañamiento como para el desarrollo social y comunitario, y así esclarecer la paga inclusiva para llevar a cabo esta labor.	1	1	0	1	2	1	2	1	
490	629		Argumento	368	En contra	Ningúna medida sancionadora si no va acompañada de una campaña importante y sería de concienciación ciudadana sobre la limpieza de nuestra casa común.	1	0	1						
491	629		Argumento	369	En contra	Yo en principio no creo que sea una buena idea sancionar, aunque en algunas ocasiones es necesario para concienciar creo que es una buena idea ayudar a la gente a encontrar soluciones para sus problemas y no darles excusas.	1	1	1	1	1	1	1	2	
492	878	Gestión ética de la población de palomas urbanas													
493	878	Para gestionar la población de palomas urbanas existen métodos éticos que no incurren en maltrato animal, como incurre la captura de estas aves y posterior sacrifico. Pienso anticonceptivo.													
494	878		Aspecto	Administración de pienso anticonceptivo		Uso de pienso anticonceptivo para controlar la población de palomas									
495	878		Argumento	370	A favor	ética que pasa por la administración de pienso anticonceptivo	0								
496	878		Argumento	371	A favor	Hay estudios científicos probados sobre la eficacia del pienso, en Ïtalia y en otros países. Así que su eficacia a día de hoy no se cuestiona.	1	1	1	2	2	2	1	0	
497	878		Argumento	372	A favor	El pienso está estudiado eficacia y protocolo de administración así como su seguridad sanitaria y medioambiental.	1	0	1						
498	878		Argumento	373	En contra	Mi preocupación con el pienso anticonceptivo es si realmente hay estudios fiables y que se hayan realizado con el suficiente tiempo como para estar seguros de que no provoca el mismo efecto en otras aves y/o animales que puedan ingerirlos	0								
499	878		Aspecto	Introducción de depredadores naturales		Uso de depredadores naturales como control poblacional de palomas									
500	878		Argumento	374	A favor	El problema de las palomas se solucionaría de una manera muy sencilla y natural: depredadores naturales ej.: halcones peregrinos, de los que ya contamos con 7 nidos en Madrid capital	1	0	1						
501	878		Argumento	375	A favor	Está muy bien introducir depredadores naturales, que es un método de control poblacional complementario	1	1	1	2	1	1	1	0	
502	878		Argumento	376	En contra	Con depredadores naturales es imposible dado el gran número que hay, habría que optar por capturas controladas	1	1	1	1	2	2	1	0	
503	878		Argumento	377	En contra	El hambre no es la solución, eso sólo mata pichones y enferma a todos. Es un caso parecido a no dar de comer a los gatos, lo único que pasa es que las crías mueren, los jóvenes enferman y los adultos sobreviven de manera lamentable, pero en ningún caso se reduce la población.	1	1	1	1	1	2	1	1	
504	878		Aspecto	Impacto en otras especies de aves		Preocupación sobre el impacto del control de palomas en otras especies de aves									
505	878		Argumento	378	En contra	Nos estamos quedando sin población de gorriones a causa de las palomas, estas son tantas que arrasan con todo	1	0	1						
506	878		Argumento	379	En contra	Eso de los gorriones no es cierto, es un falso mito como lo de que las cotorras acaban con los gorriones.	1	0	1						
507	879	Si reciclas. Te pagamos													
508	879	Implantar máquinas de recogida de envases en los supermercados, centros comerciales. Cada vez que reciclas recibe una cantidad de dinero por haber depositado vidrio/envases en el contenedor.													
509	879		Aspecto	Sistema de Retorno		Un sistema de gestión de residuos que implica un pequeño pago previo con cada envase, retornado al consumidor al reciclar.									
510	879		Argumento	380	A favor	Este sistema ha dado muy buenos resultados ambientales en diferentes países, logrando llegar a altos porcentajes de reciclado de envases.	1	1	1	2	2	2	1	1	
511	879		Argumento	381	A favor	En Alemania está instalado hace años y es algo que incentiva el reciclaje en el hogar ya que te pagan hasta 25 centimos por botella de plástico.	1	1	1	2	2	2	1	1	
512	879		Argumento	382	A favor	Las empresas ganan reutilizando los envases, gana el medio ambiente disminuyendo el consumo de plástico y evitando tragedias como las inmensas acumulaciones de plástico en los mares.	1	1	1	1	2	1	2	2	
513	879		Argumento	383	En contra	No estoy de acuerdo con los premios por civismo. Es un deber de todos como ciudadano.	1	0	1						
514	879		Argumento	384	En contra	Este metodo implica que nadie te va a pagar por reciclar - Pagas el dinero que luego te van a devolver al comprarlo.	1	1	1	1	2	2	1	1	
515	879		Argumento	385	En contra	Si se te rompe el envase o la etiqueta te has quedado sin dinero.	1	0	1						
516	879		Aspecto	Gestión Municipal de Alimentos Sobrantes		Una propuesta para optimizar la utilización de alimentos sobrantes a través de la gestión municipal.									
517	879		Argumento	386	A favor	Una gestión municipal en todo el proceso de la gestión de los alimentos sobrantes optimizaría su utilización y la gente sin recursos podría alimentarse diariamente.	1	0	1						
518	879		Argumento	387	En contra	La intención es buena pero esta propuesta se queda corta en muchos aspectos.	1	0	0						
519	879		Aspecto	Reutilización de Envases		Propuesta para reutilizar envases, evitando el malgasto de nuevas materias primas.									
520	879		Argumento	388	A favor	Yo sería partidario de este sistema si el envase no se deteriorara y se conservara intacto esto facilitaría que se devolviera al envasador.	1	1	1	1	1	1	1	1	
521	879		Argumento	389	A favor	Este tipo de propuestas deberían estar redirigidas para que todos los votos a favor sumaran más.	1	0	0						
522	879		Argumento	390	En contra	penalizaría a los fabricantes que utilizaran envases innecesarios lease envases de cartonpapel para contener por ejemplo varias latas de atun etc.	1	0	1						
523	900	Multar a los bancos con viviendas vacías													
524	900	Siguiendo el ejemplo de Barcelona en Comú, debería multarse a los bancos que posean inmuebles deshabitados durante más de 2 años para incentivar la puesta en alquiler de los mismos.													
525	900		Aspecto	Penalización a Bancos		La imposición de multas o impuestos a bancos por mantener viviendas vacías									
526	900		Argumento	391	A favor	Forzarles a darles uso, mediante alquiler si no quieren vender todavía, o vendiéndolas, es bueno para todos.	1	0	1						
527	900		Argumento	392	A favor	Propondría acuerdos con los bancos, que cedan inmuebles por un tiempo determinado 3 años por ejemplo para la EMV y dar más alquileres sociales.	1	0	0						
528	900		Argumento	393	En contra	No tiene sentido forzar a la banca a mantener unos inmuebles para alquilarlos. Son bancos, no inmobiliarias, su negocio no es el alquiler.	1	1	1	1	2	1	1	1	
529	900		Aspecto	Impacto en la Economía		Las consecuencias económicas de la medida propuesta									
530	900		Argumento	394	A favor	Habría más negocios, establecimientos, pymes y demás, si los alquileres no fuesen tan abusivos.	1	0	1						
531	900		Argumento	395	A favor	Si se multara a los bancos solo todo primera la vivienda habitual y que fuese proporcional a los metros cuadrados construidos.	0								
532	900		Argumento	396	A favor	Estoy de acuerdo con la medida, pero falta algo de marketing. No se trataría de multas, si no de incentivos que penalizarían el mantener la vivienda fuera de mercado.	1	0	1						
533	900		Aspecto	Justicia Social		La relevancia de la medida en términos de equidad y justicia social									
534	900		Argumento	397	A favor	El de la ocupación de las misma que legalmente es un ilícito penal pero que en la practica es un problema ético, de justicia y también de convivencia.	1	0	1						
535	900		Argumento	398	A favor	La solución sería que el gobierno se encargara de ayudar a alquilar esas viviendas a gente a un precio justo para ellos, así todas las partes saldrian ganando.	1	1	1	1	1	1	1	2	
536	900		Argumento	399	A favor	¡Por supuesto! No hacerlo sería fomentar la especulación.	1	0	1						
537	900		Argumento	400	En contra	Contestando a anonimo. Yo multaria al despediria al departamento de riesgos, a su director y al consejo de administración del banco que permitieron que firmaran una hipoteca sin leerse las condiciones, gente que no cumplia la politica del banco.	1	0	0						
538	900		Argumento	401	En contra	Yo también propondria multar a todos aquellos que firmaron una hipoteca sin leerse las condiciones, ya que por culpa de esto los bancos se han quedado con muchos pisos.	1	1	0	1	1	2	1	1	
539	900		Argumento	402	En contra	Porqué no afectaría a particulares. Creo que tener una casa vacía afecta igual sea quién sea el dueño. Gravar con impuestos a todos parece lo más justo.	1	1	1	0	1	1	1	1	
540	900		Aspecto	Legalidad y Discriminación		La legalidad de la medida y si constituye una discriminación hacia los bancos									
541	900		Argumento	403	A favor	Gracias por tu opinión. Desconozco cómo lo han hecho en Barcelona, aunque creo que la medida afecta exclusivamente a los bancos. No creo que haya ningún problema legal en diferenciar entre bancos y particulares.	1	1	1	0	1	1	1	0	
542	900		Argumento	404	A favor	Por tanto, si no son inmobiliarias como dices que estoy de acuerdo contigo ¿Qué hacen que tienen viviendas? Que las vendan o las entreguen al estado y empiecen desde cero sin tener ninguna.	1	0	0						
543	900		Argumento	405	A favor	Si como he contestado en otra opinión de otro usuario de este sitio web que decía que no son inmobiliarias y que yo estaba de acuerdo con él, ya esta dicho todo: a crear leyes, normas y demás para que a partir del día siguiente a publicarse estas en el BOE ya no puedan tener ninguna vivienda en su poder!	1	0	0						
544	900		Argumento	406	En contra	Es más lógico y tiene menos problemas legales el no hacer una discriminación específica contra los bancos.	1	0	1						
545	900		Aspecto	Impacto en el Mercado Inmobiliario		Efectos de la medida en el mercado inmobiliario y la disponibilidad de viviendas									
546	900		Argumento	407	A favor	La solución sería que el gobierno se encargara de ayudar a alquilar esas viviendas a gente a un precio justo para ellos, así todas las partes saldrían ganando.	1	1	1	1	1	1	1	2	
547	900		Argumento	408	En contra	Si se les quita a los bancos los muebles que se han quedado legalmente aunque reconozco que no moralmente a partir de ese momento solo concederan hipotecas a intereses prohibitivos, y se acabo el mercado inmobiliario.	1	0	1						
548	900		Aspecto	Responsabilidad Social de los Bancos		La obligación moral y social de los bancos en relación con las viviendas vacías									
549	900		Argumento	409	A favor	Apoyo ya que los bancos son empresas y como tal tienen la obligación de responder frente a los gastos, cosa que no hacen.	1	1	1	2	1	1	1	1	
550	900		Argumento	410	A favor	El de la ocupación de las mismas que legalmente es un ilícito penal pero que en la práctica es un problema ético, de justicia y también de convivencia.	1	0	1						
551	900		Argumento	411	A favor	Las viviendas propiedad de los bancos se ocupan reiteradamente, ante la impasibilidad e inacción de los mismos, cuando el hecho se les comunica.	1	1	0	1	0	1	2	1	
552	900		Argumento	412	En contra	Los bancos pertenecen a fondos de inversión que exigen rentabilidades, cuando no se dan, se producen estas cosas.	1	0	1						
553	900		Argumento	413	En contra	Es algo complicado solicitar a una organización privada que obren en virtud de quienes por torpes y cegatos obraron mal propiciando que fuesen embargadas sus viviendas.	1	0	1						
554	900		Aspecto	Efectos en la Especulación Inmobiliaria		La influencia de la medida en la especulación inmobiliaria y los precios de la vivienda									
555	900		Argumento	414	A favor	Es una medida que desincentiva el cáncer de la acaparación de viviendas como forma de inversión, abarataría el alquiler e indirectamente reduciría el precio de la vivienda.	1	0	1						
556	900		Argumento	415	A favor	Porque los bancos evitan poner a la venta o alquiler las casas como estrategia de especulación urbanística, incrementando con ello artificialmente el precio de todos los inmuebles.	1	1	1	1	2	2	1	1	
557	900		Argumento	416	A favor	Con esta medida sólo se les incita a que pongan a la venta o en alquiler los inmuebles, si lo hacen, no tienen multa.	1	1	1	0	2	1	1	0	
558	900		Argumento	417	En contra	Resulta que soy economista veo que tu no no veo el motivo por el que un banco quiera no vender o alquilar una vivienda para especular.	-2								
559	900		Argumento	418	En contra	No lo vende porque no hay demanda y punto. Solo faltaría que obliguen a las empresas a vender los productos aun cuando no tienen compradores.	1	1	1	0	2	2	1	1	
560	965	Aplicación del IBI a los bienes inmuebles de la Iglesia													
561	965	Se propone que el Ayuntamiento estudie los mecanismos jurídicos necesarios para que pueda asumir la competencia que le permita aplicar el IBI a los bienes inmuebles de la Iglesia Católica.													
562	965		Aspecto	Capacidad económica de la Iglesia		Argumentos sobre si la Iglesia dispone de suficientes recursos económicos para pagar el IBI.									
563	965		Argumento	419	A favor	La iglesia dispone de suficiente economía como para pagar el IBI.	1	0	1						
564	965		Argumento	420	En contra	¿también aplicamos ibi a los comedores sociales que atiende la iglesia para dar de comer a miles de personas todos los días?	0								
565	965		Aspecto	Equidad Fiscal		Argumentos sobre la equidad fiscal en el pago de impuestos por parte de la Iglesia.									
566	965		Argumento	421	A favor	Los sindicatos pagan el IBI de aquellos inmuebles de los que son propietarios.	1	0	0						
567	965		Argumento	422	A favor	Si los trabajadores, empresas y consumidores pagamos impuestos por nuestra actividad económica, las parroquias no deben ser menos.	1	1	1	2	1	1	1	2	
568	965		Argumento	423	A favor	Todas aquellas organizaciones sin animo de lucro no pagan IBI todos lo pagan o nadie, no se pueden hacer excepciones.	1	1	1	2	1	1	1	1	
569	965		Argumento	424	En contra	Una vez que has pasado el calvario de registrarse apoya las mejores propuestas recuperar el edificio del demás en la medida de lo posible y que devuelva todos los bienes públicos de los que se ha apoderado.	-2								
570	965		Aspecto	Legalidad y Concordatos		Argumentos relacionados con la legalidad y los concordatos existentes que afectan al pago del IBI por la Iglesia.									
571	965		Argumento	425	A favor	Es obvio que la aplicación del impuesto no puede ejercerla el Ayuntamiento ya que la existencia del Concordato de 1953 firmado con el Vaticano y de la Ley de Financiación de 1979 lo impide.	1	1	1	2	2	2	2	0	
572	965		Argumento	426	A favor	Precisamente se trata de impulsar la actuación del Ayuntamiento de Madrid, en sintonía con otros consistorios, para actuar ante el gobierno del Estado a fin de revisar el tratamiento fiscal que las normas preconstitucionales otorgaron a la iglesia católica.	1	0	1						
573	965		Argumento	427	En contra	El IBI grava la propiedad. Punto.	1	0	1						
574	965		Argumento	428	En contra	La Iglesia no presta servicios al Ayuntamiento, en todo caso a la ciudadanía. Que pague quien reciba los servicios.	1	1	0	1	1	1	1	1	
575	965		Aspecto	Exenciones y Beneficios		Discusión sobre las exenciones fiscales y beneficios que disfruta la Iglesia y su justificación.									
576	965		Argumento	429	A favor	Yo estaría de acuerdo en que la iglesia pague el IBI de las muchas viviendas que tiene a su nombre, y que incluso alquila para sacar beneficios y por las que no paga el IBI y otros edificios que no tengan un uso religioso o con fines sociales.	1	0	1						
577	965		Argumento	430	En contra	Es muy injusto que todos incluso los más desfavorecidos paguemos el IBI mientras que la Iglesia reciba subvenciones y no pague Impuestos.	1	0	1						
578	965		Argumento	431	En contra	Que la Iglesia no pague IBI por los bienes dedicados al culto, es debatible pero que si tiene un inmueble y lo alquila obteniendo un beneficio económico por ello el que no pague impuestos por dicho beneficio es un atentado a la justicia social.	1	1	1	1	0	1	1	2	
579	965		Aspecto	Impacto Social y Caritativo		Argumentos acerca del impacto social y caritativo de la Iglesia y cómo esto influye en su obligación de pagar IBI.									
580	965		Argumento	432	A favor	Creo que los que creeis que la iglesia hace mucho por sus semejantes deberíais sostener a esta institución económicamente.	1	0	1						
581	965		Argumento	433	A favor	Yo no creo que haga tanto por sus semejantes, y como ciudadano que paga sus impuestos creo que al no pagar el IBI la iglesia nos está robando.	1	1	1	1	0	0	1	2	
582	965		Argumento	434	En contra	Creo que sólo con lo que hace Cáritas parroquial está justificado que no se pague IBI o a dónde van todos lo que están sin trabajo a pedir algo. A comedores sociales, muchos de ellos de la iglesia, o a cáritas.	1	1	1	1	1	1	1	2	
583	965		Argumento	435	En contra	La Mezquita de Córdoba es un ejemplo. Ahora ya creo que no puede, por una ley aprobada en 2015 pero antes la Iglesia tenía potestad para inmatricular a su nombre los edificios que no tuvieran dueño.	1	1	1	2	1	1	1	1	
584	1085	Acabar con los excrementos de los perros en las calles													
585	1085	Establecer un mecanismo mediante el cual las calles de Madrid estén limpias de excrementos de perros, y el coste de esta limpieza lo asuman los dueños de los perros que nos recogen sus excrementos.													
586	1085		Aspecto	Multas y sanciones		La aplicación de multas y sanciones a dueños de perros por no recoger excrementos									
587	1085		Argumento	436	A favor	En teoría ya se contemplan multas por no recoger los excrementos.	1	0	1						
588	1085		Argumento	437	A favor	Carlos deja bien claro que se multen a los dueños que no recogen los escrementos de sus perros.	1	0	1						
589	1085		Argumento	438	En contra	No la apoyo ni la apoyaré. Las calles de vicalvaro que huelen a pis, no es por que el pis sea de perro.	1	0	1						
590	1085		Argumento	439	En contra	No ves el delito no puedes sancionar al ciudadano. Sería ver al infractor in situ.	1	1	1	1	1	1	1	1	
591	1085		Argumento	440	En contra	Cuesta más el análisis de la caca que la sanción que se le imponga al guarro que no la ha recogido.	1	0	1						
592	1085		Aspecto	Impuestos para dueños de perros		Imposición de impuestos a dueños de perros para financiar la limpieza de excrementos									
593	1085		Argumento	441	A favor	Se podría cobrar un impuesto por tener un perro, como si tienes coche o moto, y con ese dinero cubrir los gastos de limpieza que ocasionan.	1	0	1						
